File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
CH01_06_S1_R1_bismark_bt2_pe.bam	19222798	9198318	6851229	3173251	0	3229346	5968972	114305927	14871077	5392411	306189	24158341	4840894	64737015
CH01_14_S2_R1_bismark_bt2_pe.bam	18447303	8234715	6527187	3685401	0	3354128	4880587	80070969	8238329	3935340	259581	15323267	6711773	45602679
CH01_22_S3_R1_bismark_bt2_pe.bam	22155423	10728766	7446199	3980458	0	4072998	6655768	127381360	13365106	6828240	307985	26017914	6636687	74225428
CH01_38_S4_R1_bismark_bt2_pe.bam	16832115	7527411	6250984	3053720	0	2412947	5114464	84844218	8760664	4098748	282662	17018098	6644900	48039146
CH03_04_S5_R1_bismark_bt2_pe.bam	17913848	5719739	7625789	4568320	0	1508441	4211298	65946244	946436	7322484	249926	9833687	16827828	30765883
CH03_15_S6_R1_bismark_bt2_pe.bam	23185724	7239179	11753243	4193302	0	2812438	4426741	79297119	2162427	8982543	213343	13751809	9980952	44206045
CH03_33_S7_R1_bismark_bt2_pe.bam	18982922	9128105	6987576	2867241	0	3281430	5846675	121249866	15372085	5832117	301754	25944974	4156688	69642248
CH05_01_S8_R1_bismark_bt2_pe.bam	19900402	7799042	7395014	4706345	1	2178816	5620226	89602336	5872389	5462393	332775	15868482	16520408	45545889
CH05_06_S9_R1_bismark_bt2_pe.bam	17719380	5354295	9360968	3004117	0	2521719	2832576	58206795	524787	6961435	135383	9525556	6576226	34483408
CH05_21_S10_R1_bismark_bt2_pe.bam	18890512	9173874	6343275	3373363	0	3297646	5876228	108026692	10296837	5764901	290194	22373013	8653947	60647800
CH05_24_S11_R1_bismark_bt2_pe.bam	25816789	12427683	8092941	5296165	0	4306103	8121580	135976164	16105111	6391360	458143	28358496	11790012	72873042
CH07_06_S12_R1_bismark_bt2_pe.bam	20497444	9628223	7191041	3678180	0	3339694	6288529	120301419	12785738	7152800	333432	24574645	6818153	68636651
CH07_11_S13_R1_bismark_bt2_pe.bam	21807112	6858200	11221767	3727144	1	2920344	3937856	75253336	774527	9153189	207284	13019776	6591788	45506772
CH07_24_S14_R1_bismark_bt2_pe.bam	23992915	8373460	10463907	5155547	1	4023009	4350451	78634198	658848	8756200	195119	12137636	7797257	49089138
CH09_02_S15_R1_bismark_bt2_pe.bam	17432773	7573615	6387413	3471745	0	2404061	5169554	82789008	8595749	3969654	293937	15935298	8439038	45555332
CH09_13_S16_R1_bismark_bt2_pe.bam	21916027	10851238	6797570	4267219	0	8213517	2637721	53167041	2540890	3009101	157675	8083693	7757947	31617735
CH09_28_S17_R1_bismark_bt2_pe.bam	17611225	8463159	6253575	2894491	0	2889025	5574134	103856355	11000507	5272248	385364	21855021	5074032	60269183
CH10_01_S18_R1_bismark_bt2_pe.bam	14866305	7416281	4736992	2713032	0	2161250	5255031	93264342	10515951	4333003	288913	19795027	4485782	53845666
CH10_08_S19_R1_bismark_bt2_pe.bam	15901030	6052884	6448851	3399295	0	1613362	4439522	73223691	2840527	6263877	237024	12760294	13687056	37434913
CH10_11_S20_R1_bismark_bt2_pe.bam	18334477	8558834	6204916	3570727	0	2709859	5848975	95088639	9387012	4487136	290223	18819723	7621435	54483110
