File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
CH01_06_S1_R1_bismark_bt2_pe.bam	19222798	64948	19104619	53204	27	43697	21251	134472	624	2398	1009	2803	60989	66649
CH01_14_S2_R1_bismark_bt2_pe.bam	18447303	106445	18244379	96463	16	82045	24400	152693	665	2561	1101	3184	67996	77186
CH01_22_S3_R1_bismark_bt2_pe.bam	22155423	84822	22002348	68231	22	58674	26148	169396	686	4015	1125	4515	72090	86965
CH01_38_S4_R1_bismark_bt2_pe.bam	16832115	79814	16685043	67244	14	57328	22486	143414	635	1928	1101	2433	66380	70937
CH03_04_S5_R1_bismark_bt2_pe.bam	17913848	164951	17566890	181938	69	136976	27975	198953	612	11729	1151	11449	70920	103092
CH03_15_S6_R1_bismark_bt2_pe.bam	23185724	104423	23007479	73730	92	73256	31167	230823	615	13412	1231	12883	75952	126730
CH03_33_S7_R1_bismark_bt2_pe.bam	18982922	43480	18910132	29286	24	25623	17857	118488	510	3872	804	3990	48858	60454
CH05_01_S8_R1_bismark_bt2_pe.bam	19900402	168203	19545741	186446	12	141333	26870	176497	645	3345	1218	3658	80782	86849
CH05_06_S9_R1_bismark_bt2_pe.bam	17719380	64948	17612517	41823	92	44397	20551	169485	378	12988	731	12534	44159	98695
CH05_21_S10_R1_bismark_bt2_pe.bam	18890512	77575	18747258	65656	23	55683	21892	145656	557	4024	931	4060	64132	71952
CH05_24_S11_R1_bismark_bt2_pe.bam	25816789	139158	25555131	122483	17	106326	32832	207327	1091	2875	1666	3643	99556	98496
CH07_06_S12_R1_bismark_bt2_pe.bam	20497444	76915	20377801	42714	14	51148	25767	176661	689	4630	1213	4932	75022	90175
CH07_11_S13_R1_bismark_bt2_pe.bam	21807112	77971	21692645	36427	69	51492	26479	206571	510	13945	985	13069	58967	119095
CH07_24_S14_R1_bismark_bt2_pe.bam	23992915	129984	23789839	73021	71	94764	35220	251791	630	11781	1284	11993	84507	141596
CH09_02_S15_R1_bismark_bt2_pe.bam	17432773	105283	17261085	66395	10	78099	27184	171206	815	2711	1217	3394	77678	85391
CH09_13_S16_R1_bismark_bt2_pe.bam	21916027	81100	21789303	45595	29	70146	10954	71540	245	2103	356	2253	27301	39282
CH09_28_S17_R1_bismark_bt2_pe.bam	17611225	60269	17519548	31397	11	37847	22422	147872	582	3352	1061	3568	64517	74792
CH10_01_S18_R1_bismark_bt2_pe.bam	14866305	56581	14778556	31159	9	33303	23278	149292	620	2608	1070	3052	67511	74431
CH10_08_S19_R1_bismark_bt2_pe.bam	15901030	103434	15701458	96103	35	81721	21713	151137	441	6168	910	6079	60334	77205
CH10_11_S20_R1_bismark_bt2_pe.bam	18334477	98819	18174050	61585	23	69774	29045	184692	827	2943	1274	3520	81230	94898
