Sample	aligned_reads	dedup_reads	dedup_reads_percent	dup_reads	dup_reads_percent
CH01_06_S1_R1	9198318.0	5968972.0	64.89	3229346.0	35.11
CH01_14_S2_R1	8234715.0	4880587.0	59.27	3354128.0	40.73
CH01_22_S3_R1	10728766.0	6655768.0	62.04	4072998.0	37.96
CH01_38_S4_R1	7527411.0	5114464.0	67.94	2412947.0	32.06
CH03_04_S5_R1	5719739.0	4211298.0	73.63	1508441.0	26.37
CH03_15_S6_R1	7239179.0	4426741.0	61.15	2812438.0	38.85
CH03_33_S7_R1	9128105.0	5846675.0	64.05	3281430.0	35.95
CH05_01_S8_R1	7799042.0	5620226.0	72.06	2178816.0	27.94
CH05_06_S9_R1	5354295.0	2832576.0	52.9	2521719.0	47.1
CH05_21_S10_R1	9173874.0	5876228.0	64.05	3297646.0	35.95
CH05_24_S11_R1	12427683.0	8121580.0	65.35	4306103.0	34.65
CH07_06_S12_R1	9628223.0	6288529.0	65.31	3339694.0	34.69
CH07_11_S13_R1	6858200.0	3937856.0	57.42	2920344.0	42.58
CH07_24_S14_R1	8373460.0	4350451.0	51.96	4023009.0	48.04
CH09_02_S15_R1	7573615.0	5169554.0	68.26	2404061.0	31.74
CH09_13_S16_R1	10851238.0	2637721.0	24.31	8213517.0	75.69
CH09_28_S17_R1	8463159.0	5574134.0	65.86	2889025.0	34.14
CH10_01_S18_R1	7416281.0	5255031.0	70.86	2161250.0	29.14
CH10_08_S19_R1	6052884.0	4439522.0	73.35	1613362.0	26.65
CH10_11_S20_R1	8558834.0	5848975.0	68.34	2709859.0	31.66
