Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
CH01_06_S1_R1	9198318.0	3173251.0	0.0	792347.0	10093671.0	42452828.0	6851229.0	47.85108806740829	1.2	5.4	74.2	2289562.0	2287550.0	2315655.0	2305551.0	312495726.0	19222798.0	67589943.0	176832064.0	14734873.0
CH01_14_S2_R1	8234715.0	3685401.0	0.0	704562.0	14253513.0	27143530.0	6527187.0	44.63912692278107	1.4	9.1	68.6	1956054.0	1958455.0	2162926.0	2157280.0	246425966.0	18447303.0	49885875.0	142024060.0	12414426.0
CH01_22_S3_R1	10728766.0	3980458.0	0.0	811783.0	14001755.0	39533563.0	7446199.0	48.42501088785351	1.1	6.3	67.0	2618076.0	2623830.0	2746185.0	2740675.0	358752237.0	22155423.0	75784125.0	209157525.0	19463486.0
CH01_38_S4_R1	7527411.0	3053720.0	0.0	662643.0	13473279.0	24285147.0	6250984.0	44.72052977299644	1.4	9.4	68.7	1833859.0	1832268.0	1933212.0	1928072.0	225673140.0	16832115.0	46944887.0	129264475.0	11042709.0
CH03_04_S5_R1	5719739.0	4568320.0	0.0	482645.0	31667284.0	2296387.0	7625789.0	31.92914777439219	1.9	29.4	10.8	1418244.0	1417059.0	1445326.0	1439110.0	154914448.0	17913848.0	25492138.0	75976901.0	18999093.0
CH03_15_S6_R1	7239179.0	4193302.0	0.0	514689.0	20710991.0	6221233.0	11753243.0	31.22257040582386	1.3	14.5	18.9	1734886.0	1747031.0	1878404.0	1878858.0	217021808.0	23185724.0	40331082.0	122543467.0	26700346.0
CH03_33_S7_R1	9128105.0	2867241.0	0.0	757209.0	8904696.0	42375288.0	6987576.0	48.08587950790716	1.1	4.6	73.1	2321165.0	2322476.0	2244453.0	2240011.0	323824287.0	18982922.0	70589465.0	185628217.0	15569412.0
CH05_01_S8_R1	7799043.0	4706345.0	1.0	697817.0	31600421.0	15550370.0	7395014.0	39.19037916922482	1.6	21.4	52.6	1934605.0	1924615.0	1975587.0	1964235.0	220051082.0	19900402.0	41823891.0	116387816.0	13990767.0
CH05_06_S9_R1	5354295.0	3004117.0	0.0	352392.0	13908933.0	1588147.0	9360968.0	30.217168998012344	1.1	11.9	6.5	1256373.0	1262772.0	1416201.0	1418949.0	172775492.0	17719380.0	30741487.0	103393116.0	22791417.0
CH05_21_S10_R1	9173874.0	3373363.0	0.0	718809.0	17532269.0	29103306.0	6343275.0	48.563395211310315	1.1	9.6	64.7	2331402.0	2328883.0	2258531.0	2255058.0	291918150.0	18890512.0	62750818.0	165946833.0	15866115.0
CH05_24_S11_R1	12427683.0	5296165.0	0.0	1112642.0	24000426.0	46965258.0	8092941.0	48.1379888103048	1.3	10.5	72.5	3047277.0	3038357.0	3173682.0	3168367.0	374975276.0	25816789.0	81331484.0	203773672.0	17791794.0
CH07_06_S12_R1	9628223.0	3678180.0	0.0	834329.0	15045929.0	35104121.0	7191041.0	46.97279816937176	1.2	7.7	64.4	2447206.0	2447952.0	2365261.0	2367804.0	318040457.0	20497444.0	66846486.0	180843748.0	19365844.0
CH07_11_S13_R1	6858201.0	3727144.0	1.0	553807.0	15769691.0	2196318.0	11221767.0	31.449377615889716	1.4	11.0	7.3	1670891.0	1681787.0	1751279.0	1754243.0	212425582.0	21807112.0	38752211.0	127228649.0	27924906.0
CH07_24_S14_R1	8373461.0	5155547.0	1.0	607423.0	18937220.0	2202083.0	10463907.0	34.89972352254822	1.4	11.0	6.4	1993666.0	1996562.0	2193760.0	2189472.0	250530083.0	23992915.0	43521399.0	153029745.0	32232213.0
CH09_02_S15_R1	7573615.0	3471745.0	0.0	758446.0	19332187.0	24165078.0	6387413.0	43.444694656438195	1.7	13.6	69.0	1840539.0	1833146.0	1955521.0	1944409.0	221787088.0	17432773.0	44345433.0	122342917.0	10843027.0
CH09_13_S16_R1	10851238.0	4267219.0	0.0	997711.0	23294581.0	22547929.0	6797570.0	49.51279718719091	1.4	9.4	49.2	2683415.0	2678287.0	2750833.0	2738703.0	363439854.0	21916027.0	68499970.0	224847014.0	23252649.0
CH09_28_S17_R1	8463159.0	2894491.0	0.0	956348.0	11828705.0	30086210.0	6253575.0	48.055481660134376	1.6	7.0	68.1	2186062.0	2186808.0	2046180.0	2044109.0	272061585.0	17611225.0	58404640.0	156714543.0	14071139.0
CH10_01_S18_R1	7416281.0	2713032.0	0.0	690676.0	9755808.0	26945282.0	4736992.0	49.886511813123704	1.4	6.8	71.2	1902969.0	1894761.0	1813439.0	1805112.0	232560934.0	14866305.0	50315888.0	133960212.0	10893068.0
CH10_08_S19_R1	6052884.0	3399295.0	0.0	504426.0	26462782.0	7104561.0	6448851.0	38.06598692034415	1.6	22.7	31.2	1556320.0	1549602.0	1476806.0	1470156.0	172010387.0	15901030.0	31890215.0	90357017.0	15691386.0
CH10_11_S20_R1	8558834.0	3570727.0	0.0	740948.0	16870840.0	26145368.0	6204916.0	46.68163700551698	1.4	10.4	68.2	2082904.0	2073723.0	2201181.0	2201026.0	253467497.0	18334477.0	51961797.0	145571800.0	12176744.0
