sample	sample_mbd	Low_CpGmeth	tank	treatment	treatment_high_lowCO2	developmental_stage	notes	DNAiso_batch	conc_ng.uL	yield_ug	MBD_concentration_ng.uL	Total_recovery_ng	Percent_recovery	MBD_date	library_bioanlyzer_mean_fragment_size_bp	library_bioanalyzer_molarity_pmol.L	pool for library?	qubit_concentration_ng.uL	qubit_molarity_nM	library_4nM_uL	Total_Reads	Aligned_Reads	Unaligned_Reads	Ambiguously_Aligned_Reads	Unique_reads	perc_totalread_unique	CpGs_Meth	CHGs_Meth	CHHs_Meth
CH07-24	14	yes	1	LB	L	J7	NA	2a	67.1	3.02	0.116	2.436	0.2436	20201102	282	94072.7	yes	12.3	66.09	1.51	919688	311410	349854	258412	304242	33.1	7.4	1.3	6.8
CH05-06	9	yes	6	HA	H	J7	NA	3a	84.4	3.8	0.116	2.436	0.2436	20201102	293	80032.6	yes	10.2	52.75	1.9	624508	189323	297596	137577	184950	29.6	7.5	1.1	6.8
CH07-11	13	yes	3	LC	L	J6	NA	3a	22.7	1.02	0.142	2.982	0.2982	20201102	330	103033.4	yes	17.1	78.51	1.27	966011	290103	460284	215612	285866	29.6	8.4	1.4	6.6
CH03-04	5	yes	1	LB	L	J7	NA	1b	73.49	3.31	1.2	25.2	2.52	20201028	440	46674.1	yes	18.6	64.05	1.56	1647164	534950	686006	426187	534313	32.4	12.4	1.5	15.2
CH03-15	6	yes	1	LB	L	J6	NA	2a	56.64	2.55	0.128	2.688	0.2688	20201028	289	114367.3	yes	19.9	104.33	0.96	679642	212102	319839	147694	210847	31	22	1.2	8.8
CH10-08	19	yes	6	HA	H	J6	NA	2b	28.48	1.28	1.84	38.64	3.864	20201103	490	41777.1	yes	23.4	72.36	1.38	1495095	590337	586804	317933	589594	39.4	36	1.3	11.1
CH09-13	16	no	6	HA	H	J7	NA	2b	37.34	1.68	0	0	0	20201103	286	8705.8	yes	2.48	13.14	7.61	599034	312880	164543	121605	277910	46.4	52.5	1.3	3.8
CH05-01	8	no	2	HB	H	J7	NA	1a	66.59	3	0.696	14.616	1.4616	20201028	461	52705.6	yes	20.2	66.39	1.51	1303984	566133	461971	275868	565295	43.4	56.7	1.4	9.7
CH07-06	12	no	3	LC	L	J7	WGBS	2a	106.12	4.78	0.144	3.024	0.3024	20201102	411	75639	yes	18	66.36	1.51	1533754	757565	464993	311185	751066	49	67.5	1.2	4.4
CH05-21	10	no	2	HB	H	J7	NA	3a	119.64	5.38	0.342	7.182	0.7182	20201102	489	45977.6	yes	18.3	56.7	1.76	1489803	761905	466968	260921	758526	50.9	67.5	1.1	5
CH01-22	3	no	1	LB	L	J6	NA	2b	24.03	1.08	0.162	3.402	0.3402	20201028	333	96650.3	yes	18.4	83.72	1.19	1061555	552080	315227	194244	545064	51.3	69.1	1	3.5
CH09-28	17	no	6	HA	H	J6	NA	4a	22.83	1.03	0.22	4.62	0.462	20201103	460	61429.1	yes	20.2	66.53	1.5	1956104	995322	607276	353497	983331	50.3	70.2	1.6	4.7
CH01-14	2	no	3	LC	L	J6	NA	3a	39.04	1.76	0.142	2.982	0.2982	20201028	278	128665.1	yes	15.8	86.11	1.16	884198	433928	273947	176320	428838	48.5	70.6	1.3	5.1
CH10-11	20	no	6	HA	H	J6	NA	3b	38.48	1.73	0.306	6.426	0.6426	20201103	480	348058.5	yes	18.9	59.66	1.68	2759157	1362036	869649	527453	1351633	49	70.8	1.3	4.9
CH01-38	4	no	1	LB	L	J6	NA	1b	29.94	1.35	0.288	6.048	0.6048	20201028	432	73685.5	yes	19.2	67.34	1.49	1678659	797362	589595	291692	793669	47.3	71.1	1.4	5.3
CH09-02	15	no	4	HC	H	J6	NA	3b	79.49	3.58	0.202	4.242	0.4242	20201102	472	53537.6	yes	19.5	62.6	1.6	2017116	956871	661025	399209	949845	47.1	71.7	1.5	6.3
CH10-01	18	no	2	HB	H	J6	NA	4a	23.19	1.04	0.346	7.266	0.7266	20201103	521	39307.4	yes	20.4	59.33	1.69	2120844	1097426	615282	408118	1088018	51.3	73.2	1.3	4.3
CH05-24	11	no	4	HC	H	J6	NA	1a	40.71	1.83	0.19	3.99	0.399	20201102	328	62139.1	yes	10.5	48.5	2.06	917446	475847	263934	177660	473944	51.7	74.7	1.3	5.3
CH03-33	7	no	1	LB	L	J6	NA	3b	40.63	1.83	0.168	3.528	0.3528	20201028	469	60165	yes	18.9	61.06	1.64	1600756	835881	493475	271390	825738	51.6	75.3	1.1	2.9
CH01-06	1	no	3	LC	L	J7	NA	1a	36.75	1.65	0.138	2.898	0.2898	20201028	349	109288.5	yes	24.6	106.8	0.94	1125933	582396	350360	193173	575962	51.2	76	1.1	3.1
CH09-29	NA	NA	4	HC	H	J7	NA	1b	46.93	2.11	0.528	11.088	1.1088	20201103	454	305282.2	no	21	70.08	1.43	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH10-19	NA	NA	2	HB	H	J7	NA	2a	56.27	2.53	0.17	3.57	0.357	20201103	137	10058.6	no	1.32	14.6	6.85	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH05-26	NA	NA	4	HC	H	J6	NA	2b	76.16	3.43	0.12	2.52	0.252	20201102	313	58321.5	no	8.54	41.34	2.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH09-11	NA	NA	2	HB	H	J6	NA	3b	77.05	3.47	0.146	3.066	0.3066	20201103	279	86615.8	no	11.8	64.08	1.56	NA	NA	NA	NA	NA	NA	NA	NA	NA
