File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
CH01_06_S1_L001_R1_001_val_1_bismark_bt2_pe.bam	9043300	4492514	3030754	1519993	39	1437562	3054952	60013880	8014669	2776860	160118	12826451	2190919	34044863
CH01_14_S2_L001_R1_001_val_1_bismark_bt2_pe.bam	8506446	3922339	2886538	1697525	44	1461083	2461256	41180188	4391094	2012482	129229	8056108	2850807	23740468
CH01_22_S3_L001_R1_001_val_1_bismark_bt2_pe.bam	10346262	5235531	3211915	1898770	46	1776284	3459247	68156835	7389066	3596817	164097	14110756	3015352	39880747
CH01_38_S4_L001_R1_001_val_1_bismark_bt2_pe.bam	7973695	3705589	2819258	1448818	30	1155804	2549785	43165120	4577016	2073519	142354	8791357	2960422	24620452
CH03_04_S5_L001_R1_001_val_1_bismark_bt2_pe.bam	8780803	2687977	3766684	2326045	97	671312	2016665	32216596	484866	3605457	117977	4922885	7851671	15233740
CH03_15_S6_L001_R1_001_val_1_bismark_bt2_pe.bam	10872005	3320261	5278552	2273049	143	1153178	2167083	40120271	1179564	4483089	105933	7058562	4857305	22435818
CH03_33_S7_L001_R1_001_val_1_bismark_bt2_pe.bam	9070645	4521102	3111837	1437664	42	1529381	2991721	63939625	8305901	2981951	159710	13774619	1974767	36742677
CH05_01_S8_L001_R1_001_val_1_bismark_bt2_pe.bam	9554850	3800549	3571707	2182555	39	1046613	2753936	44915475	3048445	2766655	161905	8155008	7632440	23151022
CH05_06_S9_L001_R1_001_val_1_bismark_bt2_pe.bam	7938613	2336641	3995322	1606517	133	897355	1439286	31340060	294036	3725815	70034	5273663	3271687	18704825
CH05_21_S10_L001_R1_001_val_1_bismark_bt2_pe.bam	9016974	4552046	2839111	1625773	44	1599687	2952359	55848351	5462190	2944200	148586	11707570	4043807	31541998
CH05_24_S11_L001_R1_001_val_1_bismark_bt2_pe.bam	12080727	6047859	3564448	2468362	58	1988456	4059403	69128962	8436734	3238265	229027	14684586	5235285	37305065
CH07_06_S12_L001_R1_001_val_1_bismark_bt2_pe.bam	9807420	4693289	3228427	1885645	59	1534691	3158598	62288821	6849935	3581042	174452	12828191	3256951	35598250
CH07_11_S13_L001_R1_001_val_1_bismark_bt2_pe.bam	10176349	3106762	4913992	2155457	138	1147689	1959073	39125955	415348	4661807	108616	6826590	3339056	23774538
CH07_24_S14_L001_R1_001_val_1_bismark_bt2_pe.bam	11165036	3718500	4509108	2937280	148	1447746	2270754	42902299	366688	4676369	105042	6678450	3859751	27215999
CH09_02_S15_L001_R1_001_val_1_bismark_bt2_pe.bam	8028993	3697884	2668085	1662997	27	1124893	2572991	41995628	4472099	1993672	147989	8186018	3852224	23343626
CH09_13_S16_L001_R1_001_val_1_bismark_bt2_pe.bam	9994618	5073951	2861053	2059524	90	3299926	1774025	36804674	1941044	2130237	103922	6029450	3898333	22701688
CH09_28_S17_L001_R1_001_val_1_bismark_bt2_pe.bam	8375828	4175118	2754306	1446361	43	1343870	2831248	54310354	5911396	2686154	204120	11519530	2427470	31561684
CH10_01_S18_L001_R1_001_val_1_bismark_bt2_pe.bam	7114416	3690038	2048139	1376204	35	1022841	2667197	48513343	5588178	2212099	151059	10371959	2121162	28068886
CH10_08_S19_L001_R1_001_val_1_bismark_bt2_pe.bam	7856636	3001970	3069887	1784678	101	771438	2230532	37702580	1527240	3163765	122556	6700764	6849129	19339126
CH10_11_S20_L001_R1_001_val_1_bismark_bt2_pe.bam	8923899	4279092	2881117	1763665	25	1306195	2972897	49324944	4980999	2294167	149257	9860957	3574416	28465148
