File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
CH01_06_S1_L001_R1_001_val_1_bismark_bt2_pe.bam	10179498	5178532	3102330	1898599	37	1689732	3488800	65491837	8780284	2989076	170378	13964952	2585874	37001273
CH01_14_S2_L001_R1_001_val_1_bismark_bt2_pe.bam	9940857	4675673	3035917	2229219	48	1770713	2904960	46781019	5006914	2249091	150814	9118500	3771837	26483863
CH01_22_S3_L001_R1_001_val_1_bismark_bt2_pe.bam	11809161	6036456	3389031	2383631	43	2091612	3944844	73688524	8026700	3849011	173803	15258562	3596930	42783518
CH01_38_S4_L001_R1_001_val_1_bismark_bt2_pe.bam	8858420	4160307	2908984	1789104	25	1305744	2854563	46355085	4912730	2187783	152793	9401308	3512697	26187774
CH03_04_S5_L001_R1_001_val_1_bismark_bt2_pe.bam	9133045	2912148	3282611	2938189	97	723362	2188786	32894556	506614	3524847	132322	4925503	8750774	15054496
CH03_15_S6_L001_R1_001_val_1_bismark_bt2_pe.bam	12313719	3805304	5664838	2843420	157	1344573	2460731	41955574	1271267	4712588	113625	7481722	5133426	23242946
CH03_33_S7_L001_R1_001_val_1_bismark_bt2_pe.bam	9912277	5055876	3140223	1716123	55	1729082	3326794	66997785	8754467	3087350	162004	14451108	2139615	38403241
CH05_01_S8_L001_R1_001_val_1_bismark_bt2_pe.bam	10345552	4226769	3289772	2828959	52	1165450	3061319	47379171	3213839	2805414	180325	8533053	8637091	24009449
CH05_06_S9_L001_R1_001_val_1_bismark_bt2_pe.bam	9780767	2904022	4660883	2215713	149	1165546	1738476	33476011	331096	4014482	77298	5665017	3599558	19788560
CH05_21_S10_L001_R1_001_val_1_bismark_bt2_pe.bam	9873538	5011838	2853514	2008139	47	1768614	3243224	57768345	5669206	3014209	152588	12116973	4426920	32388449
CH05_24_S11_L001_R1_001_val_1_bismark_bt2_pe.bam	13736062	6951557	3654356	3130088	61	2317584	4633973	75909766	9293201	3477793	252050	16035746	6230721	40620255
CH07_06_S12_L001_R1_001_val_1_bismark_bt2_pe.bam	10690024	5272582	3155198	2262196	48	1742839	3529743	65545292	7274067	3775508	178262	13595703	3449951	37271801
CH07_11_S13_L001_R1_001_val_1_bismark_bt2_pe.bam	11630763	3566497	5428094	2636019	153	1344833	2221664	39971373	446703	4862053	111536	7109121	3424493	24017467
CH07_24_S14_L001_R1_001_val_1_bismark_bt2_pe.bam	12827879	4338515	4864760	3624442	162	1759816	2578699	43425009	412475	5020292	110994	7166585	4137566	26577097
CH09_02_S15_L001_R1_001_val_1_bismark_bt2_pe.bam	9403780	4156172	3218970	2028608	30	1293898	2862274	44871552	4800632	2112201	159606	8783392	4462856	24552865
CH09_13_S16_L001_R1_001_val_1_bismark_bt2_pe.bam	11921409	6087219	3118890	2715186	114	4151961	1935258	36802239	2023154	2132952	108085	6209411	4111220	22217417
CH09_28_S17_L001_R1_001_val_1_bismark_bt2_pe.bam	9235397	4680659	2840224	1714477	37	1525648	3155011	57239527	6317222	2838689	210002	12178587	2660333	33034694
CH10_01_S18_L001_R1_001_val_1_bismark_bt2_pe.bam	7751889	4040503	2124754	1586598	34	1139215	2901288	50247345	5822586	2284705	151841	10790379	2247001	28950833
CH10_08_S19_L001_R1_001_val_1_bismark_bt2_pe.bam	8044394	3097563	2838076	2108679	76	804966	2292597	36263127	1477520	3016863	120131	6451616	6673828	18523169
CH10_11_S20_L001_R1_001_val_1_bismark_bt2_pe.bam	9410578	4601666	2758247	2050637	28	1428775	3172891	50478498	5123013	2343466	153123	10144611	3939117	28775168
