File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated chgs	Unmethylated chgs	Methylated CHHs	Unmethylated CHHs
CH01_06_S1_R1_bismark_bt2_pe.bam	19222798	9671046	6133084	3418592	76	3396345	6274701	120518126	15994670	5552998	318707	25652238	4719032	68280481
CH01_14_S2_R1_bismark_bt2_pe.bam	18447303	8598012	5922455	3926744	92	3508908	5089104	83570396	8836193	4044124	267491	16207031	6525924	47689633
CH01_22_S3_R1_bismark_bt2_pe.bam	22155423	11271987	6600946	4282401	89	4280745	6991242	134168519	14416166	7056265	321559	27639334	6503794	78231401
CH01_38_S4_R1_bismark_bt2_pe.bam	16832115	7865896	5728242	3237922	55	2526241	5339655	88557679	9362286	4216969	292216	17972083	6446833	50267292
CH03_04_S5_R1_bismark_bt2_pe.bam	17913848	5600125	7049295	5264234	194	1407534	4192591	64915082	988265	7111443	248095	9823797	16521752	30221730
CH03_15_S6_R1_bismark_bt2_pe.bam	23185724	7125565	10943390	5116469	300	2688362	4437203	79047624	2328512	8796853	212164	13899264	9847645	43963186
CH03_33_S7_R1_bismark_bt2_pe.bam	18982922	9576978	6252060	3153787	97	3438900	6138078	127510821	16512319	5932266	314354	27436287	4076519	73239076
CH05_01_S8_R1_bismark_bt2_pe.bam	19900402	8027318	6861479	5011514	91	2240405	5786913	91888250	6227570	5551280	338968	16612597	16178996	46978839
CH05_06_S9_R1_bismark_bt2_pe.bam	17719380	5240663	8656205	3822230	282	2413492	2827171	57827158	550621	6759661	133864	9560927	6666189	34155896
CH05_21_S10_R1_bismark_bt2_pe.bam	18890512	9563884	5692625	3633912	91	3440316	6123568	112459369	10979105	5905176	298524	23549406	8442153	63285005
CH05_24_S11_R1_bismark_bt2_pe.bam	25816789	12999416	7218804	5598450	119	4512057	8487359	142012258	17240722	6585356	472008	29997214	11383907	76333051
CH07_06_S12_R1_bismark_bt2_pe.bam	20497444	9965871	6383625	4147841	107	3434121	6531750	125122632	13726518	7222939	345040	25811919	6609300	71406916
CH07_11_S13_R1_bismark_bt2_pe.bam	21807112	6673259	10342086	4791476	291	2748260	3924999	74638617	808109	8897268	207473	13040769	6550484	45134514
CH07_24_S14_R1_bismark_bt2_pe.bam	23992915	8057015	9373868	6561722	310	3746721	4310294	77483670	687093	8474686	193567	12122250	7649237	48356837
CH09_02_S15_R1_bismark_bt2_pe.bam	17432773	7854056	5887055	3691605	57	2493032	5361024	85773459	9133681	4059889	302459	16749366	8172133	47355931
CH09_13_S16_R1_bismark_bt2_pe.bam	21916027	11161170	5979943	4774710	204	8459190	2701980	54250192	2687395	3043459	161689	8422153	7462337	32473159
CH09_28_S17_R1_bismark_bt2_pe.bam	17611225	8855777	5594530	3160838	80	3019041	5836736	108962407	11847439	5405377	403644	23108189	4990788	63206970
CH10_01_S18_R1_bismark_bt2_pe.bam	14866305	7730541	4172893	2962802	69	2247951	5482590	97435018	11219956	4443272	298790	20856335	4325589	56291076
CH10_08_S19_R1_bismark_bt2_pe.bam	15901030	6099533	5907963	3893357	177	1589287	4510246	73738136	2996928	6167532	240734	13124366	13418545	37790031
CH10_11_S20_R1_bismark_bt2_pe.bam	18334477	8880758	5639364	3814302	53	2811438	6069320	98674881	9965985	4590055	298204	19766446	7411173	56643018
